"_","QUTT_fld_centro__c","QUTT_fld_modoEnvio__c","QUTT_fld_buzonTerrestre__c"
"[QUSAC_obj_cartera__c]","01","CX","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","01","CY","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","AG","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","AX","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CE","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CG","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CP","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CR","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CT","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CX","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CY","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","IC","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","IG","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","03","A2","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","AG","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","AX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CC","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CD","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","CF","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","CG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","CI","LIQUIDOS_ADR"
"[QUSAC_obj_cartera__c]","03","CJ","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CL","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","CO","LIQUIDOS_ADR"
"[QUSAC_obj_cartera__c]","03","CR","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CZ","LIQUIDOS_ADR"
"[QUSAC_obj_cartera__c]","03","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","ID","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","IE","LIQUIDOS_ADR"
"[QUSAC_obj_cartera__c]","03","IF","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","IG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","IH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","IL","LIQUIDOS"
"[QUSAC_obj_cartera__c]","09","CG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","09","CR","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","09","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","09","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","09","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","09","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","09","IG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","10","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","10","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","10","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","10","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","106","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","106","CX","PALET_TARRAGONA"
