clientCode,family,consumo2020,consumo2021,consumo2022,consumo2023,fDato,ventas2020,ventas2021,ventas2022,ventas2023,"competidores","comentarios"
10007,GLICOLES,3.000,10.000,3.000,7.000,01/03/2024,3.000,10.000,3.000,7.000,"",""
10007,POLIOLES,3700.000,4000.000,3650.000,4000.000,01/03/2024,2564.700,3183.820,2702.360,2751.040,"Covestro, Dow",""
10132,POLIOLES,2200.000,2200.000,1500.000,2300.000,01/03/2024,94.220,47.360,47.060,29.020,"Dow",""
10364,POLIOLES,1100.000,950.000,950.000,950.000,01/03/2024,1.000,1.000,143.460,191.380,"DOW",""
10411,ESTIRENO,662.000,737.000,609.840,662.120,01/03/2024,662.120,736.700,609.840,160.520,"",""
10411,POLIOLES,2589.000,1967.000,1421.000,2588.896,01/03/2024,2588.896,1966.710,1421.380,446.980,"",""
10466,POLIOLES,145.000,145.000,145.000,145.000,01/03/2024,144.900,85.820,96.100,71.560,"",""
10736,GLICOLES,1150.000,1150.000,1150.000,1175.000,01/03/2024,1058.920,736.880,815.480,656.560,"DOW, bashf",""
10992,ESTIRENO,6303.000,8997.000,8355.000,2468.000,01/03/2024,6302.700,8996.500,8354.770,2468.240,"100% cuota",""
10992,GLICOLES,5193.000,6169.000,4758.000,2420.080,01/03/2024,5192.800,6169.410,4758.420,2420.080,"Exclusivos",""
10992,POLIOLES,235.440,516.120,488.560,439.000,01/03/2024,235.440,516.120,488.560,439.135,"Exclusivos",""
10992A,GLICOLES,323.000,516.000,489.000,95.480,01/03/2024,,47.480,163.060,95.480,"",""
11283,POLIOLES,200.000,200.000,200.000,200.000,01/03/2024,62.380,71.680,23.980,,"DOW",""
11322,GLICOLES,3000.000,3000.000,3000.000,3000.000,01/03/2024,,1771.020,1671.320,1890.280,"LYONDELLBASELL",""
11322,OP,4000.000,1771.000,2000.000,2000.000,01/03/2024,1680.280,1317.380,820.920,,"LYONDELLBASELL",""
11335,POLIOLES,3300.000,4000.000,2500.000,2400.000,01/03/2024,,,1149.080,1767.306,"",""
11369,POLIOLES,6600.000,8270.000,7200.000,7200.000,01/03/2024,3908.300,2580.800,,,"DOW a través de QD, Covestro, Rokita",""
11404,POLIOLES,3940.000,4160.000,3950.000,3950.000,01/03/2024,19.900,87.420,100.600,120.680,"DOW, SHELL",""
11420,ESTIRENO,1693.000,2200.000,2300.000,2300.000,01/03/2024,1692.660,2075.220,2146.840,1358.840,"HELM, QUIMIDROGA competidores de 2019",""
11420,GLICOLES,600.000,800.000,850.000,850.000,01/03/2024,429.870,621.940,644.060,456.220,"QUIMIDROGA, BASF",""
11483,GLICOLES,,,,1.000,01/03/2024,,,,1.000,"Dow, covestro",""
